2024-11-04 18:06:49,051 | DEBUG | adding num: 12 to db was True
2024-11-04 18:06:49,051 | DEBUG | Data written
2024-11-04 18:06:49,051 | DEBUG | writing was True
2024-11-04 18:06:49,051 | DEBUG | released all reader slots
2024-11-04 18:06:49,051 | DEBUG | No writer
2024-11-04 18:06:49,051 | DEBUG | Acquired reader lock
2024-11-04 18:06:49,051 | DEBUG | Got value from dict - 12
2024-11-04 18:06:49,083 | DEBUG | No writer
2024-11-04 18:06:49,083 | DEBUG | Acquired reader lock
2024-11-04 18:06:49,083 | DEBUG | Got value from dict - None
2024-11-04 18:06:49,098 | DEBUG | No writer
2024-11-04 18:06:49,098 | DEBUG | Acquired reader lock
2024-11-04 18:06:49,098 | DEBUG | Got value from dict - None
2024-11-04 18:06:49,112 | DEBUG | No writer
2024-11-04 18:06:49,112 | DEBUG | Acquired reader lock
2024-11-04 18:06:49,112 | DEBUG | Got value from dict - None
2024-11-04 18:06:49,120 | DEBUG | Tests complete
2024-11-04 18:07:07,388 | DEBUG | Data written
2024-11-04 18:07:07,388 | DEBUG | method chosen: OperationSettings.THREADS
2024-11-04 18:07:07,388 | DEBUG | Got data
2024-11-04 18:07:07,389 | DEBUG | Data written
2024-11-04 18:07:07,390 | DEBUG | Value added to dictionary
2024-11-04 18:07:07,390 | DEBUG | Deleted value from dict
2024-11-04 18:07:07,390 | DEBUG | Value added to dictionary
2024-11-04 18:07:07,390 | DEBUG | Got value from dict - Ophir
2024-11-04 18:07:07,390 | DEBUG | Value added to dictionary
2024-11-04 18:07:07,390 | DEBUG | Got value from dict - Ophir
2024-11-04 18:07:07,390 | DEBUG | Value added to dictionary
2024-11-04 18:07:07,390 | DEBUG | Value added to dictionary
2024-11-04 18:07:07,390 | DEBUG | Data written
2024-11-04 18:07:07,390 | DEBUG | method chosen: OperationSettings.THREADS
2024-11-04 18:07:07,390 | DEBUG | Got data
2024-11-04 18:07:07,391 | DEBUG | No writer
2024-11-04 18:07:07,391 | DEBUG | Acquired reader lock
2024-11-04 18:07:07,391 | DEBUG | Got value from dict - None
2024-11-04 18:07:07,391 | DEBUG | No writer
2024-11-04 18:07:07,391 | DEBUG | Acquired reader lock
2024-11-04 18:07:07,391 | DEBUG | Got value from dict - None
2024-11-04 18:07:07,391 | DEBUG | No writer
2024-11-04 18:07:07,391 | DEBUG | Acquired reader lock
2024-11-04 18:07:07,391 | DEBUG | Got value from dict - None
2024-11-04 18:07:07,405 | DEBUG | Value added to dictionary
2024-11-04 18:07:07,405 | DEBUG | adding num: 12 to db was True
2024-11-04 18:07:07,405 | DEBUG | Data written
2024-11-04 18:07:07,405 | DEBUG | writing was True
2024-11-04 18:07:07,405 | DEBUG | released all reader slots
2024-11-04 18:07:07,420 | DEBUG | No writer
2024-11-04 18:07:07,420 | DEBUG | Acquired reader lock
2024-11-04 18:07:07,420 | DEBUG | No writer
2024-11-04 18:07:07,420 | DEBUG | No writer
2024-11-04 18:07:07,420 | DEBUG | Got value from dict - 12
2024-11-04 18:07:07,420 | DEBUG | Acquired reader lock
2024-11-04 18:07:07,420 | DEBUG | Acquired reader lock
2024-11-04 18:07:07,420 | DEBUG | Got value from dict - 12
2024-11-04 18:07:07,420 | DEBUG | Got value from dict - 12
2024-11-04 18:07:07,421 | DEBUG | Value added to dictionary
2024-11-04 18:07:07,421 | DEBUG | adding name: Ophir to db was True
2024-11-04 18:07:07,421 | DEBUG | Data written
2024-11-04 18:07:07,421 | DEBUG | writing was True
2024-11-04 18:07:07,421 | DEBUG | released all reader slots
2024-11-04 18:07:07,421 | DEBUG | No writer
2024-11-04 18:07:07,422 | DEBUG | No writer
2024-11-04 18:07:07,422 | DEBUG | Acquired reader lock
2024-11-04 18:07:07,422 | DEBUG | Acquired reader lock
2024-11-04 18:07:07,422 | DEBUG | No writer
2024-11-04 18:07:07,422 | DEBUG | Got value from dict - Ophir
2024-11-04 18:07:07,422 | DEBUG | No writer
2024-11-04 18:07:07,423 | DEBUG | Acquired reader lock
2024-11-04 18:07:07,422 | DEBUG | No writer
2024-11-04 18:07:07,422 | DEBUG | No writer
2024-11-04 18:07:07,422 | DEBUG | Got value from dict - Ophir
2024-11-04 18:07:07,422 | DEBUG | Acquired reader lock
2024-11-04 18:07:07,423 | DEBUG | Got value from dict - Ophir
2024-11-04 18:07:07,422 | DEBUG | No writer
2024-11-04 18:07:07,423 | DEBUG | No writer
2024-11-04 18:07:07,423 | DEBUG | No writer
